TxHash,BlockNumber,UnixTimestamp,FromAddress,ToAddress,TokenContractAddress,Type,TokenSymbol,TokensTransferred,TransactionFee,Status,ErrCode
0x6216063a3e8beafdc158e11cf1a9ef649edf7c254cea92e819cca65f2288adc4,10507156,2024-07-17 02:04:55.000000Z,0x0000000000000000000000000000000000000000,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2805173,2076962227752,ok,
0x6216063a3e8beafdc158e11cf1a9ef649edf7c254cea92e819cca65f2288adc4,10507156,2024-07-17 02:04:55.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x2bf7db8adB6025aA531d4bdf033cd5E525e2d2c1,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2805173,2076962227752,ok,
0xc114fb04a6607d6c82076f8e8af431f591ffc709d42fad4a9c9e0c8cd6703b6c,10507179,2024-07-17 02:05:41.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0xCc16Bfda354353B2E03214d2715F514706Be044C,IN,vAMMV2-WETH/USDC,2929172,2031747813107,ok,
0xc114fb04a6607d6c82076f8e8af431f591ffc709d42fad4a9c9e0c8cd6703b6c,10507179,2024-07-17 02:05:41.000000Z,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0x19D1F0A1a2FE5807958b34ADBc0d0569A93727C7,0xCc16Bfda354353B2E03214d2715F514706Be044C,OUT,vAMMV2-WETH/USDC,2929172,2031747813107,ok,
0xc114fb04a6607d6c82076f8e8af431f591ffc709d42fad4a9c9e0c8cd6703b6c,10507179,2024-07-17 02:05:41.000000Z,0x0000000000000000000000000000000000000000,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2805172,2031747813107,ok,
0xc114fb04a6607d6c82076f8e8af431f591ffc709d42fad4a9c9e0c8cd6703b6c,10507179,2024-07-17 02:05:41.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x6a0f75D6Bb4b2cc9Ae5c5dcDd9B41BeD21db9a25,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2805172,2031747813107,ok,
0xc518d4ef360d1d70d14d1c0fd888f5ab48021f08527993d2321618a0db1bfb5b,10507202,2024-07-17 02:06:27.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0xCc16Bfda354353B2E03214d2715F514706Be044C,IN,vAMMV2-WETH/USDC,2929172,1973896762189,ok,
0xc518d4ef360d1d70d14d1c0fd888f5ab48021f08527993d2321618a0db1bfb5b,10507202,2024-07-17 02:06:27.000000Z,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0x19D1F0A1a2FE5807958b34ADBc0d0569A93727C7,0xCc16Bfda354353B2E03214d2715F514706Be044C,OUT,vAMMV2-WETH/USDC,2929172,1973896762189,ok,
0xc518d4ef360d1d70d14d1c0fd888f5ab48021f08527993d2321618a0db1bfb5b,10507202,2024-07-17 02:06:27.000000Z,0x0000000000000000000000000000000000000000,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2805171,1973896762189,ok,
0xc518d4ef360d1d70d14d1c0fd888f5ab48021f08527993d2321618a0db1bfb5b,10507202,2024-07-17 02:06:27.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0xF1d7b48c3cCE68Dbb37De6a53737ff751Fa20a89,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2805171,1973896762189,ok,
0x1e2d196b9b539756e2f38c5b68aa93d34ed39dcbf572b1b411e90e6a6ca0b0de,10507226,2024-07-17 02:07:15.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0xCc16Bfda354353B2E03214d2715F514706Be044C,IN,vAMMV2-WETH/USDC,2929172,1997680420952,ok,
0x1e2d196b9b539756e2f38c5b68aa93d34ed39dcbf572b1b411e90e6a6ca0b0de,10507226,2024-07-17 02:07:15.000000Z,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0x19D1F0A1a2FE5807958b34ADBc0d0569A93727C7,0xCc16Bfda354353B2E03214d2715F514706Be044C,OUT,vAMMV2-WETH/USDC,2929172,1997680420952,ok,
0x1e2d196b9b539756e2f38c5b68aa93d34ed39dcbf572b1b411e90e6a6ca0b0de,10507226,2024-07-17 02:07:15.000000Z,0x0000000000000000000000000000000000000000,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2805169,1997680420952,ok,
0x1e2d196b9b539756e2f38c5b68aa93d34ed39dcbf572b1b411e90e6a6ca0b0de,10507226,2024-07-17 02:07:15.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x2e101Bb0f66c41f395255144037aBd82Ba7f84A2,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2805169,1997680420952,ok,
0x4e537d8054772211244d9c17699d646578a360c03db55e9ea1db6cf8637150f8,10507248,2024-07-17 02:07:59.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0xCc16Bfda354353B2E03214d2715F514706Be044C,IN,vAMMV2-WETH/USDC,2929172,1981755460543,ok,
0x4e537d8054772211244d9c17699d646578a360c03db55e9ea1db6cf8637150f8,10507248,2024-07-17 02:07:59.000000Z,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0x19D1F0A1a2FE5807958b34ADBc0d0569A93727C7,0xCc16Bfda354353B2E03214d2715F514706Be044C,OUT,vAMMV2-WETH/USDC,2929172,1981755460543,ok,
0x4e537d8054772211244d9c17699d646578a360c03db55e9ea1db6cf8637150f8,10507248,2024-07-17 02:07:59.000000Z,0x0000000000000000000000000000000000000000,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2805168,1981755460543,ok,
