"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x1989b8c65ae88629d6f6d3e67fb00c092ad286271151d59b5e2dffdb06094f4b","8586960","1723984631","2024-08-18 12:37:11","0x63b257a372aa04c8a078d43bcaadad359ce1faa2","0xcb25214ec41ea480068638897fcbd6f1206f5521","0.001107347083096656","N/A","0xf2f426fe123de7b769b2d4f8c911512f065225d3","wfrxETH/sfrxETH","sfrxfrxETH"
"0x1989b8c65ae88629d6f6d3e67fb00c092ad286271151d59b5e2dffdb06094f4b","8586960","1723984631","2024-08-18 12:37:11","0xcb25214ec41ea480068638897fcbd6f1206f5521","0xe1a644a9941d9ebf71b6ecaacb2d0a3fcf6a57b0","0.001107347083096656","N/A","0xf2f426fe123de7b769b2d4f8c911512f065225d3","wfrxETH/sfrxETH","sfrxfrxETH"
"0x4cb7e636b6c576981fdec815b60b1296a0df8bb0ca9c85b5e39f0414d6c6bd2c","8586970","1723984651","2024-08-18 12:37:31","0xe1a644a9941d9ebf71b6ecaacb2d0a3fcf6a57b0","0xcb25214ec41ea480068638897fcbd6f1206f5521","0.000165576715757134","N/A","0xf2f426fe123de7b769b2d4f8c911512f065225d3","wfrxETH/sfrxETH","sfrxfrxETH"
"0x4cb7e636b6c576981fdec815b60b1296a0df8bb0ca9c85b5e39f0414d6c6bd2c","8586970","1723984651","2024-08-18 12:37:31","0xcb25214ec41ea480068638897fcbd6f1206f5521","0x63b257a372aa04c8a078d43bcaadad359ce1faa2","0.000165576715757134","N/A","0xf2f426fe123de7b769b2d4f8c911512f065225d3","wfrxETH/sfrxETH","sfrxfrxETH"
"0x8aa814e1f5f4bd3e216fa327e4a472d0e768a2c5991150f5ff37fca9a0bc1c05","8586971","1723984653","2024-08-18 12:37:33","0x63b257a372aa04c8a078d43bcaadad359ce1faa2","0xcb25214ec41ea480068638897fcbd6f1206f5521","0.000009592284345921","N/A","0xf2f426fe123de7b769b2d4f8c911512f065225d3","wfrxETH/sfrxETH","sfrxfrxETH"
"0x8aa814e1f5f4bd3e216fa327e4a472d0e768a2c5991150f5ff37fca9a0bc1c05","8586971","1723984653","2024-08-18 12:37:33","0xcb25214ec41ea480068638897fcbd6f1206f5521","0xe1a644a9941d9ebf71b6ecaacb2d0a3fcf6a57b0","0.000009592284345921","N/A","0xf2f426fe123de7b769b2d4f8c911512f065225d3","wfrxETH/sfrxETH","sfrxfrxETH"
"0xc8024ac9d1fa93994ecbdd6135e82ed58e697d40dcea96d804d937f4a32a78ee","8586972","1723984655","2024-08-18 12:37:35","0x63b257a372aa04c8a078d43bcaadad359ce1faa2","0xcb25214ec41ea480068638897fcbd6f1206f5521","0.000334328098903257","N/A","0xf2f426fe123de7b769b2d4f8c911512f065225d3","wfrxETH/sfrxETH","sfrxfrxETH"
"0xc8024ac9d1fa93994ecbdd6135e82ed58e697d40dcea96d804d937f4a32a78ee","8586972","1723984655","2024-08-18 12:37:35","0xcb25214ec41ea480068638897fcbd6f1206f5521","0xe1a644a9941d9ebf71b6ecaacb2d0a3fcf6a57b0","0.000334328098903257","N/A","0xf2f426fe123de7b769b2d4f8c911512f065225d3","wfrxETH/sfrxETH","sfrxfrxETH"
"0x1a75432f41b10141cf299985fde3bae069064c67ea3c70f58bf31a5200dac8b1","8586984","1723984679","2024-08-18 12:37:59","0x63b257a372aa04c8a078d43bcaadad359ce1faa2","0xcb25214ec41ea480068638897fcbd6f1206f5521","0.000024496389438843","N/A","0xf2f426fe123de7b769b2d4f8c911512f065225d3","wfrxETH/sfrxETH","sfrxfrxETH"
"0x1a75432f41b10141cf299985fde3bae069064c67ea3c70f58bf31a5200dac8b1","8586984","1723984679","2024-08-18 12:37:59","0xcb25214ec41ea480068638897fcbd6f1206f5521","0xe1a644a9941d9ebf71b6ecaacb2d0a3fcf6a57b0","0.000024496389438843","N/A","0xf2f426fe123de7b769b2d4f8c911512f065225d3","wfrxETH/sfrxETH","sfrxfrxETH"
